controller,scenario,seed,waterLevelMAE,bandViolationRate,safetyViolationCount,totalIrrigationMm,switchCount,meanDecisionTimeMs,mpcFallbackCount
rule,sensor_noise,20,3.86220924402855,0,0,32,4,0.000560763888888889,0
mpc,sensor_noise,20,6.7774211543944,0,0,44.0425296636572,1,0.354727864583333,0
rule,sensor_noise,21,4.22665036996198,0,0,32,4,0.000543836805555556,0
mpc,sensor_noise,21,5.71377304060419,0,0,38.3368856427977,1,0.349773003472222,0
rule,sensor_noise,22,5.96631901480557,0,0,40,4,0.000564236111111111,0
mpc,sensor_noise,22,5.12336725153612,0,0,41.719874206989,1,0.380364149305556,0
rule,sensor_noise,23,4.85664321127338,0,0,32,4,0.000755642361111111,0
mpc,sensor_noise,23,5.33844501248556,0,0,45.8551877911247,1,0.374022135416667,0
rule,sensor_noise,24,5.12675199400511,0,0,16,2,0.000541232638888889,0
mpc,sensor_noise,24,6.31538945827649,0,0,31.5442107227754,1,0.356273871527778,0
rule,sensor_noise,25,4.33453955537915,0,0,36,4,0.000554253472222222,0
mpc,sensor_noise,25,4.53110580833974,0,0,39.6904919555307,1,0.36038671875,0
rule,sensor_noise,26,3.9209256661483,0,0,28,4,0.000542534722222222,0
mpc,sensor_noise,26,5.74414941608445,0,0,40.743641343587,1,0.358155815972222,0
rule,sensor_noise,27,3.55292943692153,0,0,40,6,0.000842013888888889,0
mpc,sensor_noise,27,6.84351422157981,0,0,39.151358148111,1,0.380437065972222,0
rule,sensor_noise,28,5.1082619365477,0,0,36,4,0.000686631944444445,0
mpc,sensor_noise,28,5.92899102736935,0,0,39.4331538447547,1,0.366050347222222,0
rule,sensor_noise,29,5.70696617945111,0,0,32,3,0.0005625,0
mpc,sensor_noise,29,5.69355503284212,0,0,47.1544698866491,1,0.359253038194444,0
rule,sensor_noise,30,4.25717983738614,0,0,32,4,0.000510416666666667,0
mpc,sensor_noise,30,6.82240403825246,0,0,45.0017584714422,1,0.365677951388889,0
rule,actuator_delay,1,6.83972260477826,0,0,30.8923772664086,2,0.000536458333333333,0
mpc,actuator_delay,1,1.04565174211009,0,0,40.5712701696739,1,0.35033203125,0
rule,actuator_delay,2,11.9998281551464,0.135416666666667,0,43.631788549616,2,0.00051953125,0
mpc,actuator_delay,2,2.37626111685814,0,0,44.666534784574,1,0.364309461805556,0
rule,actuator_delay,3,7.16722953068107,0,0,35.3789333091539,2,0.000520399305555556,0
mpc,actuator_delay,3,1.34825566258067,0,0,40.4712529466229,1,0.356379774305556,0
rule,actuator_delay,4,8.58240774824439,0,0,36.6733883146253,2,0.000550347222222222,0
mpc,actuator_delay,4,0.673114389172023,0,0,35.9468060116872,1,0.359713541666667,0
rule,actuator_delay,5,8.53425442796429,0,0,39.8327870430471,2,0.000600694444444444,0
mpc,actuator_delay,5,1.78577820921765,0,0,39.1655468194837,1,0.353668836805556,0
