scenario,seed,delta_waterLevelMAE,delta_bandViolationRate,delta_safetyViolationCount,delta_totalIrrigationMm,delta_switchCount,delta_meanDecisionTimeMs,delta_mpcFallbackCount
actuator_delay,6,-8.21503151104753,0,0,-4.89109478479165,-1,0.356717881944444,0
actuator_delay,7,-7.39394572371601,0,0,-0.557364578778547,-1,0.3505625,0
actuator_delay,8,-4.72772330398828,0,0,5.61544032515536,-1,0.348466579861111,0
actuator_delay,9,-6.69165947433153,0,0,4.56935371695717,-1,0.357956163194445,0
actuator_delay,10,-6.10030256436602,0,0,1.99786925973069,-1,0.444375434027778,0
actuator_delay,11,-5.95656231532871,0,0,1.8038505137095,-1,0.739155381944444,0
actuator_delay,12,-8.01506187427619,0,0,-4.68624708958534,-1,0.477981336805556,0
actuator_delay,13,-6.42249970475848,0,0,3.108289012843,-1,0.410077256944444,0
actuator_delay,14,-5.78235264919265,0,0,4.84647499622484,-1,0.591861545138889,0
actuator_delay,15,-6.17650146140922,0,0,5.69594858674944,-1,0.374971354166667,0
actuator_delay,16,-8.39694326210756,0,0,-4.39245312202532,-1,0.375576822916667,0
actuator_delay,17,-6.66285792165755,0,0,0.440532939773966,-1,0.418572482638889,0
actuator_delay,18,-7.49775865801949,0,0,-1.54650137878907,-1,0.416654947916667,0
actuator_delay,19,-8.26465081066476,0,0,-0.163399198928353,-1,0.42279296875,0
actuator_delay,20,-5.23051152816638,0,0,7.58943483113075,-1,0.397481336805556,0
actuator_delay,21,-5.44242870026316,0,0,5.80210153846049,-1,0.407355034722222,0
actuator_delay,22,-7.82177919738376,0,0,-5.27296693900781,-1,0.386021267361111,0
actuator_delay,23,-6.18392288337879,0,0,5.05477754139624,-1,0.363125434027778,0
actuator_delay,24,-9.03038170510631,-0.03125,0,-6.78625805168273,-1,0.37647265625,0
actuator_delay,25,-7.97466399434809,0,0,-3.16993830318253,-1,0.376794704861111,0
actuator_delay,26,-7.08398324490889,0,0,-1.00855847435975,-1,0.411901909722222,0
